K,K0,activation,batchnorm,bst_epoch,lr,lr_decay,lw,lw1,mode,sample_weight_rate,time,trn_acc,trn_loss,val_acc,val_auc,val_loss
74,11,elu,False,26,0.001405365,0.778385,0.0005315258,0.0,nn_dot,0.0,2017-11-22 13:31:35,0.73833,0.5288,0.6903,0.73192,0.59692
82,6,elu,True,19,0.008507431,0.903615,0.0003233625,0.0,nn_dot,0.0,2017-11-22 12:56:21,0.72931,0.54008,0.68648,0.72858,0.6016699999999999
88,7,leakyrelu,True,35,0.012534700000000001,0.909158,0.0009984157000000001,0.0,nn_dot,0.0,2017-11-22 17:07:30,0.74253,0.5159100000000001,0.68645,0.72832,0.6099399999999999
106,10,tanh,True,38,0.008778001,0.9168290000000001,0.001520053,0.0,nn_dot,0.0,2017-11-22 13:52:48,0.74107,0.5202399999999999,0.68565,0.72796,0.5965199999999999
51,15,tanh,True,21,0.01027691,0.769936,0.0008714192999999999,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
120,6,elu,True,36,0.00423761347375697,0.841363220306668,0.0015697111509719104,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
96,11,relu,True,36,0.0033869587373324766,0.6563968862275331,5.13147554921689e-05,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
63,5,prelu,False,39,0.006988110361139781,0.7103387140350989,0.018966081173403464,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
109,5,relu,True,38,0.0071806804369165065,0.8485823022682464,0.00016536555625761457,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
105,12,leakyrelu,True,37,0.06999060480136159,0.8854510417807673,0.010475934485317388,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
127,10,tanh,False,22,0.00195955527303226,0.7013000474919621,6.9104220159803e-05,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
